CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan,,5,5,5,5,5,8,12,15,19,22,26,29,33,36,40,43,47,50,54,57,61
8,Albania,97,97,97,97,97,97,97,97,97,97,97,97,97,96,96,96,96,96,95,95,95,95
12,Algeria,94,94,94,94,93,93,92,91,91,90,89,89,88,87,87,86,85,84,84,84,84,84
16,American Samoa,94,95,95,96,97,97,98,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100
20,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,Angola,42,42,42,42,43,43,44,44,45,45,46,46,47,47,48,49,49,50,51,52,53,53
660,Anguilla,,,,,,93,93,93,93,93,93,94,94,94,94,94,94,94,94,94,94,95
28,Antigua and Barbuda,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
32,Argentina,93,94,94,95,95,95,95,96,96,96,97,97,97,97,98,98,98,98,99,99,99,99
51,Armenia,,,91,91,91,90,90,91,91,92,93,93,94,94,95,96,96,97,97,98,99,99
533,Aruba,91,91,92,92,92,93,93,93,94,94,94,95,95,95,96,96,96,96,97,97,97,98
36,Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
40,Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,Azerbaijan,70,70,70,70,70,71,71,72,73,73,74,75,76,76,77,78,79,79,80,80,80,80
44,Bahamas,,,,,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
48,Bahrain,95,95,95,95,95,96,97,97,98,98,99,99,100,100,100,100,100,100,100,100,100,100
50,Bangladesh,76,76,76,77,77,77,78,78,79,79,79,80,80,80,81,81,82,82,82,83,83,83
52,Barbados,95,96,96,97,97,97,98,98,98,99,99,99,100,100,100,100,100,100,100,100,100,100
112,Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
56,Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
84,Belize,73,74,75,76,78,79,80,81,83,84,85,86,88,89,90,91,93,94,95,96,98,99
204,Benin,57,58,59,60,61,62,63,63,64,65,66,67,68,69,70,71,72,72,73,74,75,76
60,Bermuda,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan,,,,,,,,86,86,86,86,86,88,89,90,91,92,93,94,95,96,97
68,Bolivia,69,70,71,72,73,74,75,76,77,78,79,80,81,82,82,83,84,85,86,86,87,88
70,Bosnia and Herzegovina,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98,99,99,99,99,99,99
72,Botswana,92,93,93,93,93,94,94,94,94,95,95,95,95,95,96,96,96,96,96,97,97,97
76,Brazil,88,89,90,90,91,91,92,92,93,93,93,94,94,95,95,95,96,96,96,97,97,97
92,British Virgin Islands,,,,,,95,95,95,95,95,95,95,95,95,95,95,95,95,,,,
96,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99
854,Burkina Faso,44,44,45,47,49,51,52,54,56,58,60,62,64,65,67,69,71,73,75,76,78,80
108,Burundi,69,70,70,70,70,71,71,71,71,72,72,72,72,73,73,73,73,74,74,74,74,74
116,Cambodia,31,31,32,32,32,34,36,38,40,42,44,46,48,50,53,55,57,59,61,63,65,67
120,Cameroon,49,50,52,53,54,56,57,58,60,61,62,63,65,66,67,69,70,71,73,74,74,74
124,Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
132,Cape Verde,,,80,80,80,81,81,81,82,82,83,83,84,84,85,85,86,86,87,88,88,89
136,Cayman Islands,,,,93,93,93,93,93,93,93,93,94,94,94,94,95,95,95,95,96,96,96
140,Central African Republic,58,59,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,67,67
148,Chad,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50
152,Chile,90,91,91,92,92,92,93,93,94,94,95,95,96,96,96,97,97,97,98,98,98,98
156,China,67,68,70,71,72,74,75,76,78,79,80,81,83,84,85,86,87,88,90,91,92,92
170,Colombia,88,89,89,89,89,90,90,90,90,90,91,91,91,91,91,92,92,92,92,93,93,93
174,Comoros,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,95,95,95,95,95,95,
178,Congo,,,,,,,,70,70,71,71,71,71,71,71,72,72,72,72,72,72,72
184,Cook Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
188,Costa Rica,93,93,94,94,94,94,94,95,95,95,95,95,95,95,96,96,96,96,96,96,96,96
384,Cote d'Ivoire,76,76,76,76,77,77,77,77,77,77,78,78,78,78,78,79,79,79,79,79,80,80
191,Croatia,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99
192,Cuba,,,,,90,90,90,90,90,90,91,91,91,92,92,92,92,93,93,93,93,94
196,Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
203,Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
180,Democratic Republic of the Congo,43,43,43,43,43,43,43,44,44,44,44,44,44,44,45,45,45,45,46,46,46,46
208,Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
262,Djibouti,75,75,75,75,75,76,77,78,79,81,82,83,84,85,86,87,88,89,90,91,92,92
212,Dominica,,,,,,94,94,94,94,94,94,94,94,94,94,94,94,94,,,,
214,Dominican Republic,89,89,88,88,88,87,87,87,87,86,86,86,85,85,85,84,84,83,83,83,82,82
218,Ecuador,76,77,78,79,79,80,81,81,82,83,84,84,85,86,87,87,88,89,90,90,91,92
818,Egypt,93,93,94,94,94,95,95,95,95,96,96,96,97,97,97,98,98,98,99,99,99,99
222,El Salvador,74,75,76,77,78,79,80,81,82,83,83,84,85,85,86,87,87,88,88,89,90,90
226,Equatorial Guinea,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,
232,Eritrea,43,43,43,43,44,46,47,49,51,52,54,55,57,58,60,60,60,60,60,,,
233,Estonia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
231,Ethiopia,14,14,14,16,18,20,22,23,25,27,29,31,33,34,36,38,40,42,44,45,47,49
234,Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,
238,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,
242,Fiji,85,86,86,87,88,88,89,89,90,91,91,92,92,93,93,94,95,95,96,96,96,96
246,Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
250,France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
254,French Guiana,,,83,83,83,83,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90
258,French Polynesia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
266,Gabon,,,,,83,83,84,84,85,85,85,86,86,86,86,87,87,87,87,87,88,88
270,Gambia,74,75,76,77,78,79,80,81,82,82,83,84,85,86,86,87,88,88,89,89,89,89
268,Georgia,85,85,85,85,85,85,86,87,88,88,89,90,91,92,92,93,94,95,96,96,97,98
276,Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
288,Ghana,53,55,57,59,61,62,64,66,68,69,71,73,74,76,77,79,80,82,83,85,86,86
300,Greece,96,96,97,97,97,98,98,98,98,99,99,99,99,100,100,100,100,100,100,100,100,100
304,Greenland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
308,Grenada,,,,,,94,94,94,94,94,94,94,94,94,94,94,94,94,,,,
312,Guadeloupe,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99
316,Guam,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99,99,99,99,99,99,99,99
320,Guatemala,81,82,83,83,84,84,85,86,86,87,87,88,89,89,90,90,91,92,92,93,93,94
324,Guinea,51,53,54,55,56,57,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,74
624,Guinea-Bissau,36,37,39,40,42,44,45,47,49,50,52,54,55,57,59,61,62,64,66,68,70,72
328,Guyana,,,,,88,88,88,88,88,88,89,89,90,90,91,91,92,92,93,94,94,95
332,Haiti,61,62,62,62,62,62,62,62,62,62,62,62,62,63,63,63,63,64,64,64,64,64
340,Honduras,73,74,74,75,76,77,78,78,79,80,81,82,82,83,84,85,85,86,87,88,88,89
348,Hungary,96,96,96,97,97,97,98,98,98,99,99,99,100,100,100,100,100,100,100,100,100,100
352,Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
356,India,70,71,72,73,74,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
360,Indonesia,70,71,71,72,73,74,75,75,76,77,78,78,79,80,80,81,81,82,83,83,84,84
364,Iran,91,91,91,91,91,92,92,92,93,93,93,93,94,94,94,94,94,95,95,95,95,95
368,Iraq,78,78,78,78,78,78,79,79,79,80,80,80,81,81,82,82,83,83,83,84,84,85
372,Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
376,Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
380,Italy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
388,Jamaica,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
392,Japan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
400,Jordan,97,97,97,97,97,97,97,97,97,97,97,97,97,97,96,96,96,96,96,96,96,96
398,Kazakhstan,96,96,96,96,96,96,96,96,96,96,96,96,95,95,95,95,95,95,95,95,95,95
404,Kenya,43,44,45,46,46,47,48,49,50,51,52,53,54,54,55,56,57,58,59,59,60,61
296,Kiribati,50,50,51,52,53,53,54,55,57,58,59,60,60,61,62,62,63,63,64,65,65,66
408,"Korea, Democratic People's Republic of",100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99,98,98,98
410,"Korea, Republic of",,90,90,90,90,91,91,92,92,93,93,94,95,95,96,96,97,97,98,98,98,98
414,Kuwait,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
417,Kyrgyzstan,,77,77,77,77,77,78,79,80,80,81,82,83,84,85,86,87,88,89,89,89,89
