CountryCode,Country,1990,1995,2000,2005,2010
4,Afghanistan,,,31,,
8,Albania,2.9,,4.4,3.1,
12,Algeria,38,,48.9,,
20,Andorra,,,,,
24,Angola,,,0.4,0.5,
28,Antigua and Barbuda,3.3,,15.4,16.2,
32,Argentina,,3.5,4,,
51,Armenia,,27.8,22.3,36.8,
36,Australia,,4.5,4.6,,
40,Austria,4.9,4.7,4.7,,
31,Azerbaijan,,35.8,29,34.8,
44,Bahamas,,,,,
48,Bahrain,161.1,,,205.8,
50,Bangladesh,,,,,2.9
52,Barbados,,58.3,119.6,108,
112,Belarus,,,7.5,,
56,Belgium,,41.6,41.2,34,
84,Belize,,1.1,1.2,,
204,Benin,,,0.5,,
64,Bhutan,,,,,0.4
68,Bolivia,,,0.4,,
70,Bosnia and Herzegovina,,,,0.9,0.9
72,Botswana,0.9,1.2,1.6,,
76,Brazil,,0.7,0.7,0.7,
96,Brunei Darussalam,0.9,1.1,,,
100,Bulgaria,35.2,,26.7,29.1,28.7
854,Burkina Faso,3,,5.7,,
108,Burundi,,,2.3,,
116,Cambodia,,,,0.5,
120,Cameroon,0.1,,0.3,,
124,Canada,,,,,
132,Cape Verde,,,6.8,,
140,Central African Republic,,,0,0.1,
148,Chad,,,2,2,
152,Chile,2.2,,2.7,2.9,
156,China,17.6,18,,19.5,
170,Colombia,,0.4,0.6,,
174,Comoros,,,0.8,,
178,Congo,,,0,,
184,Cook Islands,,,,,
188,Costa Rica,,5.1,,,
384,Cote d'Ivoire,1.4,1.5,1.7,1.9,
191,Croatia,,,,,0.6
192,Cuba,,13.7,,11.6,
196,Cyprus,28.6,23.4,21.9,,18.4
203,Czech Republic,,19,13.3,12.9,
180,Democratic Republic of the Congo,,,0,0.1,
208,Denmark,18.6,,11.2,9.3,10.8
262,Djibouti,,,6.3,,
212,Dominica,,,,,
214,Dominican Republic,,39.7,16.5,26.1,
218,Ecuador,,4,2.2,2.3,
818,Egypt,,102.3,96.6,,
222,El Salvador,2.9,,5.5,7.3,
226,Equatorial Guinea,,,0.1,,
232,Eritrea,,,6.6,9.2,
233,Estonia,,1.2,11.4,14,
231,Ethiopia,,,4.6,,
234,Faeroe Islands,,,,,
242,Fiji,,,0.3,,
246,Finland,2.1,2.4,2.1,1.5,
250,France,17.9,14.4,15.3,15,
254,French Guiana,,,,,
266,Gabon,,,0.1,0.1,
270,Gambia,,,1.1,,
268,Georgia,,,,2.9,
276,Germany,,29.4,25.4,21,
