CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
8,Albania, , , , , , , , , , , , , , , , , , , ,22, , , , 
24,Angola, , , , , , , , , , , , , , , , , , , ,32.1, , , , 
28,Antigua and Barbuda, , , , , , , , , , , , , , , , , , , , ,53.1, , , 
51,Armenia, , , , , , , , , , ,7.7, , , , ,15.1, , , , ,8.9, , , 
31,Azerbaijan, , , , , , , , , , , , , , , , ,5.3, , , , , , , 
50,Bangladesh, , , , , , , , , , , , , , , , , ,17.9, , , ,14.4, , 
204,Benin, , , , , , , , , , , ,14.2, , , , ,34.8, , , , , , , 
68,Bolivia, , , , , , , , , , , , , ,17.8, , , , ,27.7, , , , , 
70,Bosnia and Herzegovina, , , , , , , , , , , , , , , , , , , , , , ,47.4, 
72,Botswana, , , , , , , , , , , ,32.5, , , , , , , , , , , , 
100,Bulgaria, , , , , , , , , , , , , , , ,15.3, , , , , , , , 
854,Burkina Faso, , , , , , , , , , , , , ,22.6, , , , , , ,35.7, , , 
108,Burundi, , , , , , , , , , , , , , , , , , , , ,46.5, , , 
116,Cambodia, , , , , , , , , , , , , , , ,45.2, , , , ,43.7, , , 
120,Cameroon, , , , , , , , , , , , , , ,34, , , , , , ,33.5, , 
132,Cape Verde, , , , , , , , , , , , , , , ,36.2, , , , , , , , 
140,Central African Republic, , , , , , , , , , , , , , , , ,26.1, , , ,25, , , 
148,Chad, , , , , , , , , , , , , , ,20.2, , , , , , , , , 
178,Congo, , , , , , , , , , , , , , , ,22, , , ,21.9, , , , 
384,Cote d'Ivoire, , , , , , , , , , , , , , , ,27.6, , , , , , , , 
180,Democratic Republic of the Congo, , , , , , , , , , , , , , , , , ,20.7, , , , , , 
262,Djibouti, , , , , , , , , , , , , , , ,22, , , , , , , , 
212,Dominica, , , , , , , , , , , , , , , , , , , , , ,47.8, , 
214,Dominican Republic, , , , , , ,23.2, , , , , , , , , , ,33.7, , , , , , 
818,Egypt, , , , , , , , , , , , , , , , , , ,18.3, , , , , 
231,Ethiopia, , , , , , , , , , , , , , , ,33.3, , , , , ,34.2, , 
266,Gabon, , , , , , , , , , ,22, , , , , , , , , , , , , 
288,Ghana, , , , , , , , , , , , , ,44.5, , ,33, ,34.2, , , , , 
308,Grenada, , , , , , , , , , , , , , , , , , , , , ,59.8, , 
320,Guatemala, , , , , , , , , , , , , , , , , , , ,24.4, , , , 
324,Guinea, , , , , , , , , , , , , , , ,22.8, , , , , , , , 
328,Guyana, , , , , , , , , , , , , , , ,47.3, , , ,46.6, , , , 
332,Haiti, , , , , , , , , , ,27.6, , , , , ,40.4, , , , , , , 
356,India, , , , , , , , , , , ,17, , , , ,36.1, , , , , , , 
360,Indonesia, , , , , , , , , , , , , ,0.2, , , ,14.7, , , , , , 
388,Jamaica, , , , , , , , , , , , , , , , , , ,53.9, , , , , 
398,Kazakhstan, , , , , , , , , , , , , , , , , , , , , ,34.1, , 
404,Kenya, , , , , , , , , , , , , ,47.2, , , , , ,54.9, , , , 
296,Kiribati, , , , , , , , , , , , , , , , , , , ,48.6, , , , 
426,Lesotho, , , , , , , , , , , , , , ,18.4, , , , ,28.7, , , , 
430,Liberia, , , , , , , , , , , , , , , , , ,27.2, , , , , , 
450,Madagascar, , , , , , , , , , , , , , ,15.7, , , , ,26, , , , 
454,Malawi, , , , , , , , , , ,40.6, , , ,36.3, ,41.9, , , ,44.7, , , 
466,Mali, , , , , , , , , , , ,14.9, , , , ,22.2, , , , , , , 
584,Marshall Islands, , , , , , , , , , , , , , , , , ,39.4, , , , , , 
478,Mauritania, , , , , , , , , , , , , , , , , ,14, , , , , , 
496,Mongolia, , , , , , , , , , , , , , , , , , , , ,29.3, , , 
508,Mozambique, , , , , , , , , , , , , ,32.8, , , , , ,33.7, , , , 
516,Namibia, , , , , , , , , , ,40.8, , , , , , ,61.9, , , , , , 
520,Nauru, , , , , , , , , , , , , , , , , ,9.6, , , , , , 
524,Nepal, , , , , , , , , , , , , , , , ,43.6, , , , ,33.9, , 
562,Niger, , , , , , , , , , , , , , , , ,15.9, , , , , , , 
566,Nigeria, , , , , , , , , , , , , ,21.3, , , , ,32.6, , , , , 
608,Philippines, , , , , , , , , , , , , ,17.6, , , , , , , , , , 
498,Republic of Moldova, , , , , , , , , , , , , , , ,54.3, , ,39.1, , , , , 
642,Romania, , , , , , , , , , , , , , ,1.3, , , , , , , , , 
646,Rwanda, , , , , , , , , , ,20, , , , ,53.6, , , , ,46.1, , , 
659,Saint Kitts and Nevis, , , , , , , , , , , , , , , , , , , , , ,50, , 
882,Samoa, , , , , , , , , , , , , , , , , , , ,5.8, , , , 
678,Sao Tome and Principe, , , , , , , , , , , , , , , , , , , ,43.4, , , , 
686,Senegal, , , , , , , , , , , , , , , ,23.7, , , , , ,30.7, , 
688,Serbia, , , , , , , , , , , , , , , , , , , , ,47.6, , , 
694,Sierra Leone, , , , , , , , , , , , , , , , , , ,27.6, , , , , 
90,Solomon Islands, , , , , , , , , , , , , , , , , ,35.1, , , , , , 
748,Swaziland, , , , , , , , , , , , , , , , , ,52.3, , ,53.6, , , 
762,Tajikistan, , , , , , , , , , , , , , , , , , , , ,12.8, , , 
626,Timor-Leste, , , , , , , , , , , , , , , , , , , , ,19.7, , , 
768,Togo, , , , , , , , , , , , , , , , , , , , ,42.2, , , 
798,Tuvalu, , , , , , , , , , , , , , , , , ,60.7, , , , , , 
800,Uganda, , , , , , , , , , , ,40.4, , , ,35.3,38.2, , , , ,39.5, , 
804,Ukraine, , , , , , , , , , , , , , , , , ,42.8, , , , , , 
834,United Republic of Tanzania, , , , , , ,23.2, , ,29.1, , , , ,49,40.3, , ,41.5, ,42.7, ,46.7, 
860,Uzbekistan, , , , , , , , , , , , ,7, , , , , , , , , , , 
704,Viet Nam, , , , , , , , , , , , , , , ,50.3, , , ,44.1, , , , 
894,Zambia, , , , , , , , , , , , ,32.5, , ,46.1, ,36.9, ,40.7, , , , 
716,Zimbabwe, , , , , , , , , , , , , , , , ,45.6, , , , ,47, , 
