CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan,,21,21,21,21,21,21,22,22,23,23,24,24,25,25,26,26,26,27,27,28,28
8,Albania,81,81,81,81,82,82,83,84,85,85,86,87,88,89,89,90,91,91,92,93,93,94
12,Algeria,89,89,89,89,90,90,90,91,91,92,92,93,93,93,94,94,94,95,95,95,95,95
16,American Samoa,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
20,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,Angola,29,30,31,32,33,35,36,38,39,41,42,44,45,47,48,50,51,53,54,56,57,59
660,Anguilla,,,,,,91,91,91,91,91,92,93,93,94,94,95,95,96,96,97,97,98
28,Antigua and Barbuda,75,76,77,78,79,80,81,82,83,84,85,86,87,88,88,89,90,91,91,91,91,91
32,Argentina,87,87,88,88,89,89,90,90,91,91,92,92,93,93,93,94,94,95,95,95,96,96
51,Armenia,,,89,89,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90
533,Aruba,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
36,Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
40,Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,Azerbaijan,,,,,57,57,57,57,57,60,62,65,67,70,72,75,77,80,82,82,82,82
44,Bahamas,,,,,88,88,88,88,88,88,88,88,88,88,88,88,88,88,,,,
48,Bahrain,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
50,Bangladesh,38,38,38,39,40,41,42,43,43,44,45,46,47,48,49,50,51,51,52,53,54,55
52,Barbados,82,83,84,85,85,86,87,88,89,89,90,91,92,92,92,92,92,,,,,
112,Belarus,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
56,Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
84,Belize,76,77,78,78,79,80,80,81,82,82,83,84,84,85,86,86,87,88,88,89,90,90
204,Benin,5,5,6,6,7,7,7,8,8,9,9,9,10,10,11,11,12,12,13,13,14,14
60,Bermuda,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan,,,,,,,,38,38,38,39,39,40,40,41,42,42,43,43,44,45,45
68,Bolivia,28,29,30,31,32,33,34,35,35,36,37,38,39,40,40,41,42,43,44,45,45,46
70,Bosnia and Herzegovina,,,,,95,95,95,95,95,95,95,95,95,95,95,95,96,96,96,96,96,96
72,Botswana,39,41,42,43,45,46,47,48,50,51,52,53,54,56,57,58,59,60,62,63,64,64
76,Brazil,67,68,68,69,70,71,72,72,73,74,75,75,76,76,77,78,78,79,79,80,80,81
92,British Virgin Islands,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
96,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
854,Burkina Faso,8,8,8,9,9,9,10,10,11,11,12,12,13,13,14,14,15,16,16,17,17,18
108,Burundi,42,42,42,43,43,44,44,44,45,45,46,46,46,47,47,48,48,48,49,49,50,50
116,Cambodia,9,9,9,9,9,10,12,13,15,16,18,19,20,22,23,25,26,27,29,30,32,33
120,Cameroon,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
124,Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
132,Cape Verde,,,35,36,36,37,37,39,41,42,44,46,48,50,51,53,55,57,58,60,62,63
136,Cayman Islands,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
140,Central African Republic,11,11,11,12,13,15,16,18,19,21,22,24,25,26,28,29,31,32,34,34,34,34
148,Chad,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,12,12
152,Chile,85,86,86,87,88,88,89,90,90,91,92,93,93,94,94,95,96,96,97,98,98,99
156,China,24,26,28,30,32,34,36,38,40,43,45,47,49,51,53,55,57,59,61,63,65,65
170,Colombia,67,68,68,69,69,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78
174,Comoros,18,19,20,20,21,22,24,25,26,27,28,29,31,32,33,34,35,35,35,35,35,
178,Congo,,,,,,,,20,20,20,20,20,20,19,19,19,19,19,18,18,18,18
184,Cook Islands,100,100,100,100,100,100,100,100,100,100,100,99,98,98,97,96,96,95,95,95,95,95
188,Costa Rica,88,89,89,89,90,90,90,91,91,91,91,92,92,92,92,92,93,93,93,93,94,94
384,Cote d'Ivoire,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,23,23,23,23,24,24,24
191,Croatia,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
192,Cuba,81,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92
196,Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
203,Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
180,Democratic Republic of the Congo,17,17,17,17,18,19,19,20,21,22,23,23,24,25,26,26,27,28,29,29,30,31
208,Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
262,Djibouti,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,61,61,61,61,61
212,Dominica,,,,,,81,81,81,81,81,81,81,81,81,81,81,81,81,,,,
214,Dominican Republic,73,73,74,74,74,75,76,76,77,77,78,78,79,79,79,80,80,81,81,82,82,82
218,Ecuador,69,71,72,73,74,75,77,78,79,80,81,82,83,85,86,87,88,89,90,91,92,93
818,Egypt,72,73,74,76,77,79,80,81,83,84,86,87,88,90,91,93,94,95,95,95,95,95
222,El Salvador,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,65,66,67,68,69,70,70
226,Equatorial Guinea,,,,,89,89,89,89,89,89,89,89,89,89,89,89,89,,,,,
232,Eritrea,9,9,9,9,10,10,10,10,11,11,11,12,12,12,13,13,13,13,13,,,
233,Estonia,96,96,96,96,96,96,96,95,95,95,95,95,95,95,95,95,95,95,95,95,95,100
231,Ethiopia,2,2,2,3,3,3,3,5,6,7,8,9,10,12,13,14,15,16,17,18,20,21
234,Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,
238,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,
242,Fiji,57,59,61,63,65,66,68,70,71,73,74,76,77,79,80,81,83,84,86,87,87,87
246,Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
250,France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
254,French Guiana,,,76,76,76,76,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90
258,French Polynesia,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,97,97,97,97,97,97
266,Gabon,,,,,36,36,36,36,36,36,36,35,35,35,34,34,33,33,33,33,33,33
270,Gambia,,,60,60,61,61,61,61,62,62,63,64,64,65,65,66,66,67,68,68,68,68
268,Georgia,96,96,96,96,96,96,96,96,96,96,95,95,95,95,95,94,94,94,94,94,94,93
276,Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
288,Ghana,6,7,7,7,8,8,8,9,9,9,10,10,11,11,11,12,12,12,13,13,13,13
300,Greece,97,97,97,97,97,97,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99
304,Greenland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
308,Grenada,,,,,99,92,92,92,92,92,92,92,92,92,92,92,92,92,,,,
312,Guadeloupe,,,,,,,,,,,,,95,95,95,95,96,96,96,97,97,97
316,Guam,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
320,Guatemala,62,63,64,65,66,67,67,68,69,70,71,72,73,74,74,75,76,77,78,79,79,80
324,Guinea,10,10,11,11,12,12,12,13,13,14,14,15,15,15,16,16,17,17,18,18,18,18
624,Guinea-Bissau,,,,,10,11,11,11,11,12,12,13,13,14,15,15,16,17,17,18,18,19
328,Guyana,,,,,78,78,78,78,78,79,79,79,80,80,81,81,82,82,83,83,83,84
332,Haiti,21,21,21,22,22,22,22,22,22,23,23,23,24,24,24,25,25,25,25,26,26,26
340,Honduras,49,50,52,54,55,57,58,60,61,63,65,66,68,69,71,72,74,75,76,78,79,81
348,Hungary,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
