CountryCode,Country,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
12,Algeria,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
24,Angola,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , ,0.9, , , , , , , ,0.85, , 
50,Bangladesh,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,0.84, , , , , 
112,Belarus,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,, , , , , , 
84,Belize,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , , , , , , ,0.92
204,Benin,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , ,0.72, , , , ,0.9, , , , , 
68,Bolivia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , ,0.82, , , , ,0.74, , , , , , , , 
70,Bosnia and Herzegovina,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
72,Botswana,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , ,0.99, , , , , , , , , , 
76,Brazil,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , ,0.96, , , , , , , , , , , , , , , 
854,Burkina Faso,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , ,0.81, , , , , , , , , ,1.09, , ,0.61, , , ,1.01, 
108,Burundi,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.7, , , , ,0.85, , , , ,0.82, 
116,Cambodia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.71, , , , ,0.83, , , , ,0.92, 
120,Cameroon,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, ,0.95, , , , , , ,0.94, ,1, , , ,0.99, ,0.91, , , , ,0.94
140,Central African Republic,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , ,0.66, , , , ,0.91, , , , , ,0.96, , , ,0.88, 
148,Chad,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , ,0.96, , , , , , ,1.05, , , , , ,1.17, 
170,Colombia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,0.85, , , , , , 
174,Comoros,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,, , , , , , , , , , , 
178,Congo,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,0.88, , , , , , 
384,Cote d'Ivoire,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , ,0.72, , , , , ,0.83, , , , ,0.73,0.83, , , , , 
180,Democratic Republic of the Congo,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , ,0.72, , , , , ,0.77, , ,0.74, 
262,Djibouti,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
214,Dominican Republic,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , ,0.96, , , , ,0.77, , ,0.97, 
226,Equatorial Guinea,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.95, , , , , , , , , , , 
232,Eritrea,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , ,0.81, , , , , , ,0.83, , , , , , , , , 
231,Ethiopia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.6, , , , ,0.9, , , , , ,0.9
266,Gabon,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.98, , , , , , , , , , , 
270,Gambia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,0.85, , , , , ,0.87, , , ,1.06, 
268,Georgia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , ,, , , , , , 
288,Ghana,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , ,0.82, , , , ,0.93, , , , ,0.79, , ,1.04, ,0.76, , , 
320,Guatemala,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , ,, , , , , , , , , , , , 
324,Guinea,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , ,1.13, , , , , ,0.73, , , , , , 
624,Guinea-Bissau,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , ,1.03, , , , , ,0.97, , , ,1.09, 
328,Guyana,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,, , , , , 
332,Haiti,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , ,0.76, , , , ,0.87, , , , , ,0.86, , , , , 
340,Honduras,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,1.08, , , , , 
356,India,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, , , , , , , , , , , , , , , , ,0.72, , , , , 
360,Indonesia,Y,Ratio of school attendance rate of orphans to school attendance rate of non orphans, ,0.76, , ,0.78, , ,0.83, , , , , ,0.82, , , , , , , , 
