CountryCode,Country,1990,Footnotes,Type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,Afghanistan,,,,,,,,,,,,,,,,,,,,,9.4,,,
8,Albania,,,,,,,,,,8.7,,,,,9.1,,8.2,7.8,,,8.1,,,
12,Algeria,,,,,,,,7,,,,,,,,,,,,,,,,
24,Angola,,,,,,,,,,,,,2,,,,,,,,,5.4,,
32,Argentina,,,,5,4.6,4.5,4.5,3.9,3.5,3.9,3.5,3.5,3.2,2.7,2.8,2.7,3.2,3.4,3.6,3.9,3.9,3.9,4.4,
51,Armenia,,,,,,,,,5.5,,,7.6,,7.6,7.9,8.6,7.5,8,8.5,8.6,8.8,,8.8,
36,Australia,,,,,,,5.9,,,,,,,,,,,,,,,,,
40,Austria,,,,,,,,,,,,,8.6,,,,,,,,,,,
31,Azerbaijan,,,,,,,,6.9,,,,,,7.5,,,,,,,8,,,
50,Bangladesh,,,,,9.6,,,,8.7,,,,8.7,,,,,8.8,,,,,8.9,
112,Belarus,,,,,,11.1,,8.5,,,8.4,,8.5,8.2,8.4,,9.4,8.8,8.6,8.8,9.2,9.1,9,9.4
56,Belgium,,,,,,,,,,,,,8.5,,,,,,,,,,,
84,Belize,,,,,,3,2.9,2.1,3.5,3,3.4,3.3,,,,,,,,,,,,
204,Benin,,,,,,,,,,,,,,,,7,,,,,,,,
64,Bhutan,,,,,,,,,,,,,,,,5.4,,,,6.6,,,,
68,Bolivia,,,,5.6,,3.7,,,,2,,1.3,0.8,1.6,1.5,,,2,2.2,2.6,2.1,,,
70,Bosnia and Herzegovina,,,,,,,,,,,,,,9.1,,,7,,,6.7,,,,
72,Botswana,,,,,,,3.1,,,,,,,,,,,,,,,,,
76,Brazil,2.2,5,G,,2.5,2.1,,2.2,2,2.1,2.2,2.2,,2.1,2.3,2.3,2.5,2.8,2.6,2.8,2.9,2.9,,
100,Bulgaria,,,,,8.3,,10.2,6.9,,10.1,,,,6.5,,8.7,,,,8.5,,,,
854,Burkina Faso,,,,,,,5.1,,,,5.9,,,,,7,,,,,,6.7,,
108,Burundi,,,,,7.9,,,,,,5.1,,,,,,,,9,,,,,
116,Cambodia,,,,,,,8,,,,,,,,,,6.9,,,6.6,7.5,7.9,,
120,Cameroon,,,,,,,,,6.6,,,,,6.5,,,,,,6.7,,,,
124,Canada,,,,,,,,,,,,,7.2,,,,,,,,,,,
132,Cape Verde,,,,,,,,,,,,,,,4.5,,,,,,,,,
140,Central African Republic,,,,,2,,,,,,,,,,,5.2,,,,,3.4,,,
148,Chad,,,,,,,,,,,,,,,,6.3,,,,,,,,
152,Chile,3.6,5,G,,3.8,,3.6,,3.7,,3.5,,3.7,,,3.8,,,4.2,,,4.3,,
156,China,8,4,G,,,7.4,,,7.2,,,6.4,,,5.5,,,5,,,,4.7,,
344,"China, Hong Kong Special Administrative Region",,,,,,,,,5.3,,,,,,,,,,,,,,,
170,Colombia,,,,3.6,3.7,,,,2.4,,,2,1.9,2,1.9,2.1,2.2,2.8,,,2.5,2.7,3,
174,Comoros,,,,,,,,,,,,,,,,,2.6,,,,,,,
178,Congo,,,,,,,,,,,,,,,,,,5,,,,,,
188,Costa Rica,3.8,5,G,3.6,4,3.9,4,4,3.8,4.2,4.3,3.9,4,3.4,3.4,3.5,3.8,4.1,4,4.3,4.3,3.9,,
384,Cote d'Ivoire,,,,,,7.1,,7.1,,,5.8,,,,5,,,,,,5.6,,,
191,Croatia,,,,,,,,,,,9.3,9.2,8.3,8.3,,,8.7,,,,8.1,,,
