CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
36,Australia,278223,279646.3,284815.3,288827.5,293602.4,304229.2,311759.9,320044.1,333297.1,343156.6,349737,356047.9,360372.5,373668.2,379716.6,382394.3,387095.2,394955.4,401886.3,402874.4,401787.4
40,Austria,62059.6,65643.8,60138.3,60516.1,60899.8,63944,67383.7,67180,66763,65344.9,65972.2,70004.9,71720.1,77758.2,78215.9,79723.9,77032.5,74362.7,73921.5,67225.7,72290.5
112,Belarus,103806.8,97475.4,90060.2,77204.2,64506.2,57599.8,58553.8,59868,58064.8,55404.1,53319.3,52347,52528.8,52891.3,56258.5,56669.8,59128.5,58280,60328.7,56827.7,58318.3
56,Belgium,118784.3,121239.7,119689,118694.5,123169.8,124092.1,128126.3,122508.2,128746.6,123225.7,124944.3,124840.4,124661.8,127773.9,128443.8,125268.2,121398.5,117188.6,120082.5,108572.7,117709.1
100,Bulgaria,83386.2,65001.5,60958,60854,59697.6,62084.9,62097.5,59365.8,55394.3,48221.8,47642.6,51062.6,47916.3,52530.6,51180.4,51918.3,53341.9,56864.6,54467.1,45730.5,48107.9
124,Canada,457376.8,449527.4,463641,463142.7,477818.6,490478.2,503459.7,516021.1,525189,540438.8,563807.4,558311.6,565362,583243.2,590511.2,580257.1,569078.7,596068.3,575611.5,542348.1,544877.9
191,Croatia,23338.8,17312.3,16714.8,17174.4,16499.1,17211.4,17844.2,18869.6,19630.9,20533.3,20094.7,21035.6,22107,23530.8,23151.4,23488,23725.6,25017.1,23783.9,22010.8,21292.2
203,Czech Republic,165097,154603.5,140227.8,136191.5,127173.1,128330.3,132829.9,129947.1,123551.8,115990.2,126052.2,125832.7,122473.6,125883.6,127390.9,127211.9,128939.4,128971.1,123921.2,116012.5,120038.7
208,Denmark,54101.4,64780.6,59039.4,61191.6,65138.3,61979.9,75390.8,66058.5,61959.3,59392.1,54998.7,56824.5,56363,61530,56053.2,52374.5,60363.6,55597.8,52096.5,49686.9,50251.6
233,Estonia,36620.2,33618.3,24152.6,18746.6,19618.5,17957,18663.5,18214.5,16654.3,15515.6,15149.6,15506.4,14992.1,16818.7,17070.4,16436,15864.8,18895.9,17382.1,14185,18218.7
246,Finland,56633.3,55052.3,54205,56114.1,61409.8,57885.1,63688.7,62344.2,59062.8,58642.8,56814.4,62073.1,64518.1,72269,68370.4,56520.1,67883.1,66182.5,58102.6,55192.1,63688.6
250,France,397484.6,421674.6,412096.2,392030.5,387902.4,396184.7,410087,403538.6,424792.1,417626.4,414421.9,416898.1,409774.1,419094.9,421989.5,426752.4,414079.5,403691.4,397212,379174.2,387665.9
276,Germany,1042160.6,1004807.3,957623.3,948769.6,932615.4,931040.5,951995.7,923194.2,915284.8,888024,891624.3,907652.2,890959.9,893160.6,883168.4,865958.8,871040.5,849039.8,846525.5,784297.4,818962.3
300,Greece,83301,83016.9,84718.8,84064.7,86339.8,86800.1,88917.2,93763.2,98671.8,98068.3,103210.2,105569.7,105216.2,109351.3,109635.7,113407.8,111928.4,114442.3,110707.3,104472.4,97468.9
348,Hungary,72505.1,69032.5,62722.8,63452.7,62421.8,61681.2,62993.1,61293.1,60536.4,60479.4,58723,60165.6,58439.1,61356.2,59699.6,60701.9,59496.2,57710.5,56285.5,50595.8,51392.7
352,Iceland,2153.5,2084,2209.9,2332.3,2279.7,2310.6,2400,2486.8,2495.9,2698.4,2751.8,2751.4,2844.4,2840.6,2910.9,2844.1,3015.2,3266.9,3579,3546.1,3404.9
372,Ireland,32341.2,33124.2,32989.8,33125,34338.3,35148.6,36756.5,38184.5,40216.7,41851.5,44627.1,47037.8,45611.9,45060.3,45945.3,47673.1,47295.9,47465.1,46960.8,41649.3,41268
380,Italy,435011.5,434447.9,434117.8,427392.5,420081.7,445150.8,438617.1,442635.4,453777.4,458991.8,462485.1,468455.3,470604.7,486638.5,489462,488162.9,483613.7,475485.8,463962.2,415434.5,426086.6
392,Japan,1141196,1150117.1,1158577.8,1150897.8,1210669,1223692.7,1236605.9,1231519.9,1195929.5,1230877.3,1251556.7,1236420.5,1273504.9,1278621.2,1278004.7,1282256.5,1263070.2,1296303.8,1213206.5,1142254,1191947.4
428,Latvia,19057.8,17479.5,14002.1,11736.3,10229.1,9037.2,9127.8,8600.7,8217.6,7634.2,7068.5,7436.3,7415.5,7612.2,7775.5,7778.6,8254.9,8621.9,8181.5,7388.9,8480.2
438,Liechtenstein,201.6,209.4,210.4,218.8,205,208.4,210.6,223,234.4,233.5,226.8,224.9,229.9,239.4,239.6,239.4,241.1,210.4,229.4,213.7,199
440,Lithuania,36479.3,38620.4,21611,16686.7,16001.6,15269.9,15983.7,15346.1,16202.7,13683,12074,12762.2,12885.4,12606.2,13429.6,14204.5,14584.6,15825.6,15097.6,12951.9,13848.5
442,Luxembourg,11894.3,12407.6,12186.1,12304.8,11486.8,9147.6,9194.7,8491.3,7603.3,8004.3,8624.9,9121.4,9886.8,10343.2,11692.4,11968.9,11822.5,11236.3,11064.5,10525.6,11077.4
470,Malta,1859,2033.4,2138.5,2134.1,2246.7,2211.5,2265.2,2255.3,2258.7,2348.1,2345.2,2464.9,2484.8,2663.7,2618.6,2704,2670.9,2756.8,2715.5,2628.4,2640.5
492,Monaco,105.4,106.3,112.9,112.8,114.7,111.8,116.1,116.2,114,114.8,112.8,113.8,111.8,106.5,100,98.6,89.3,92.1,90,85.3,82.4
528,Netherlands,159249.3,164252,162328.9,166726.3,166683.7,170726.6,177642,171486.5,173324,167814.8,169936,175708.2,176008.5,179596.4,181002.4,175942.8,172319.2,172431,175188.7,169895.3,181191.4
554,New Zealand,25014.1,25661.9,27574.8,27123.2,27253.7,27415.2,28746.1,30586.4,29061.3,30562.6,31322.2,33405.3,33665.5,35399.3,34964.2,36408.5,36335,35661.2,36477.5,33591.8,33199.2
578,Norway,34806.1,33349.3,34157.7,35798.9,37706.3,37777.9,41024.6,41131.6,41312.3,42146.1,41744.1,43110.6,42246.4,43603.1,44042.7,43052,43505.3,45472.4,44370.3,42893.7,45455
616,Poland,373474.7,371733.3,361984.2,362349,358074.3,359337.2,373242.8,364189.5,336761.1,327383.4,316113.7,312712.1,300927,312968.7,316629.6,317893.3,331446.1,332313.3,326619.5,312248.4,332066.8
620,Portugal,44369.7,46195.6,50184.3,48878.3,49615.8,53623.9,50992.3,53850.5,58443.2,66104.7,64941.1,65361.2,69380.4,64504.9,66768.8,68831.2,64214,61589.2,59997.7,57115.4,52977.9
642,Romania,188208.6,152905.8,133081.9,128701,126946.5,134120.1,137051.4,125273.2,111859.8,95849.8,100145.8,102921.3,106848.5,112295.6,110853.9,108110.6,113661.6,111859.9,107710.4,88226.3,86858.7
643,Russian Federation,2498581.9,2352251.8,1931064.5,1834283.8,1622392.7,1572625.2,1533897.2,1458407.5,1432770.7,1469926.1,1471363,1490414.1,1491358,1521303.6,1523542.8,1524799.6,1581878.2,1578916.3,1609216.9,1526261,1598281.3
703,Slovakia,60745.2,54092,49749.8,46078.8,43526.7,44879.1,44699.1,44811.5,44324.3,43434.6,41367.4,44168.5,42886.6,43609.6,43028.8,42659.8,42096.8,40079.6,41225.6,36031,38024.6
705,Slovenia,14795.8,13785.4,13702.1,14068.8,14204.5,15027.4,15695.5,16006.6,15743.9,15116.6,15226.2,16140.1,16287.6,16041.7,16391.4,16687.7,16876.7,17007.5,17973.5,16047.2,16122.3
