CountryCode,Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
24,Angola, , , , , , , , ,17.7, , , ,25.9, 
31,Azerbaijan, ,1.4, , , , , , , , , , , , 
204,Benin, , , ,7.4, , , ,20.1, , , , , ,71
854,Burkina Faso, , , , ,1.6, , ,9.6, , , ,47.4, , 
108,Burundi, ,1.3, , , , ,8.3, , , , ,45.3, , 
116,Cambodia, , , , , , ,4.2, , , , , , , 
120,Cameroon, ,1.3, , , ,0.9, ,13.1, , , , ,21.1, 
140,Central African Republic, ,1.5, , , , , ,15.1, , , ,36.4, , 
148,Chad, ,0.6, , , , , , , , , ,9.8, , 
174,Comoros, ,9.3, , , , , , , , , , , , 
178,Congo, , , , , , ,6.1, , , , , , ,26.4
384,Cote d'Ivoire, ,1.1, , , ,3.8, ,3, , , , , ,38.9
180,Democratic Republic of the Congo, , ,0.7, , , , , ,5.8, , ,38.1, , 
262,Djibouti, , , , , , , ,1.3, , ,19.9, , , 
226,Equatorial Guinea, ,0.7, , , , , , , , , , , , 
232,Eritrea, , , ,4.2, , , , , ,48.9, , , , 
231,Ethiopia, , , , , , ,1.5, ,33.1, , , ,30.1, 
266,Gabon, , , , , , , , , ,55.1, , , , 
270,Gambia, ,14.7, , , , , ,49, , , ,33.3, , 
288,Ghana, , , , ,3.5, , ,21.8, ,28.2, , ,39, 
320,Guatemala,1.2, , , , , , , , , , , , , 
324,Guinea, , , , , , ,1.4, ,4.5, , , , ,26.1
624,Guinea-Bissau, ,7.4, , , , , ,39, , , ,35.5, , 
328,Guyana, , , , , , , , , , ,24.4, , , 
360,Indonesia, ,0.1, , , , , , ,3.3, , ,16.5, , 
368,Iraq, ,0.1, , , , , , , , , , , , 
404,Kenya, ,2.9, , ,4.6, , , , , ,46.7, , , 
418,Lao People's Democratic Republic, ,17.7, , , , , ,40.5, , , , , , 
430,Liberia, , , , , , , , , , ,26.4, ,37.1, 
450,Madagascar, ,0.2, , , , , , , , ,45.8, , , 
454,Malawi, ,2.8, , , ,14.8, ,24.7, , , ,55.4, , 
466,Mali, , , , , , , ,27.1, , , ,70.2, , 
478,Mauritania, , , , , ,2.1, , , , , ,27.6, , 
508,Mozambique, , , , , , , , ,6.7,22.8, , ,17.5, 
104,Myanmar, , , , , , , , , , , ,11.1, , 
516,Namibia, , , , , , , , ,10.5, ,34, , , 
562,Niger, ,1, , , , , ,7.4, , ,43,63.7, , 
566,Nigeria, , , , ,1.2, , , , ,5.5, ,28.9, , 
646,Rwanda, ,5, , , , ,13, , ,55.7, ,69.6, , 
678,Sao Tome and Principe, ,22.5, , , , , ,41.7, , ,56.2, , , 
686,Senegal, ,1.7, , , , ,7.1,16.4, , ,29.2, ,34.5, 
694,Sierra Leone, ,1.5, , , , ,5.3, , ,25.8, ,30.3, , 
90,Solomon Islands, , , , , , , , ,40.4, , , , , 
706,Somalia, , , , , , , ,11.4, , , , , , 
728,South Sudan, , , , , , , ,21, , ,25.3, , , 
144,Sri Lanka, , , , , , , , ,2.9, , , , , 
729,Sudan, , , , , , , ,30, , , , , , 
740,Suriname, ,2.7, , , , , , , , , , , , 
748,Swaziland, ,0.1, , , , , , ,0.6, , ,1.5, , 
762,Tajikistan, , , , , , ,1.3, , , , , , , 
626,Timor-Leste, , , ,8.3, , , , , , , ,42, , 
768,Togo, ,2, , , , , ,38.4, , , ,57.1, , 
800,Uganda, , ,0.2, , , , ,9.7, , ,32.8, ,42.8, 
834,Tanzania,2.1, , , , ,16, , , ,25.7, ,63.6, , 
548,Vanuatu, , , , , , , , ,55.7, , , , , 
704,Viet Nam, ,15.8, , , , ,13, , , , , ,9.4, 
894,Zambia,1.1, , ,6.5, , , ,22.8,28.5,41.1, ,49.9, , 
716,Zimbabwe, , , , , , , ,2.9, , ,17.3, ,9.7, 
